1,"{'yogurt', 'ice cream', 'aluminum foil', 'mixes', 'all- purpose', 'pork', 'laundry detergent', 'sandwich bags', 'lunch meat', 'vegetables', 'dinner rolls', 'butter', 'beef', 'soap', 'flour', 'soda', 'shampoo'}"
2,"{'toilet paper', 'yogurt', 'waffles', 'aluminum foil', 'mixes', 'milk', 'dishwashing liquid/detergent', 'laundry detergent', 'hand soap', 'sandwich bags', 'vegetables', 'individual meals', 'tortillas', 'cheeses', 'cereals', 'shampoo'}"
3,"{'bagels', 'milk', 'spaghetti sauce', 'hand soap', 'vegetables', 'poultry', 'laundry detergent', 'sandwich loaves', 'lunch meat', 'cheeses', 'shampoo', 'ice cream', 'pork', 'soap', 'cereals', 'dinner rolls', 'soda', 'toilet paper', 'eggs', 'ketchup'}"
4,"{'toilet paper', 'all- purpose', 'juice', 'lunch meat', 'cereals', 'soda'}"
5,"{'mixes', 'spaghetti sauce', 'milk', 'all- purpose', 'hand soap', 'vegetables', 'paper towels', 'poultry', 'sandwich loaves', 'tortillas', 'pasta', 'yogurt', 'waffles', 'pork', 'flour', 'soda', 'dinner rolls', 'toilet paper', 'eggs', 'individual meals'}"
6,"{'bagels', 'milk', 'spaghetti sauce', 'all- purpose', 'vegetables', 'butter', 'paper towels', 'poultry', 'laundry detergent', 'pasta', 'shampoo', 'aluminum foil', 'coffee/tea', 'soap', 'cereals', 'toilet paper', 'eggs', 'dishwashing liquid/detergent', 'ketchup'}"
7,"{'milk', 'mixes', 'all- purpose', 'spaghetti sauce', 'fruits', 'vegetables', 'beef', 'juice', 'paper towels', 'tortillas', 'pasta', 'yogurt', 'ice cream', 'soap', 'toilet paper', 'eggs', 'dishwashing liquid/detergent', 'ketchup', 'sandwich bags', 'individual meals'}"
8,"{'toilet paper', 'ice cream', 'waffles', 'paper towels', 'poultry', 'juice', 'vegetables', 'cheeses', 'soda'}"
9,"{'dishwashing liquid/detergent', 'poultry', 'juice', 'coffee/tea'}"
10,"{'bagels', 'milk', 'fruits', 'vegetables', 'beef', 'juice', 'poultry', 'sandwich loaves', 'lunch meat', 'tortillas', 'cheeses', 'waffles', 'pork', 'sugar', 'coffee/tea', 'soap', 'flour', 'soda', 'toilet paper', 'eggs', 'dishwashing liquid/detergent', 'ketchup'}"
11,"{'bagels', 'milk', 'hand soap', 'vegetables', 'poultry', 'sandwich loaves', 'cheeses', 'pasta', 'shampoo', 'ice cream', 'waffles', 'pork', 'sugar', 'coffee/tea', 'flour', 'dinner rolls', 'soda', 'toilet paper', 'eggs', 'dishwashing liquid/detergent', 'ketchup', 'individual meals'}"
12,"{'bagels', 'yogurt', 'waffles', 'flour', 'spaghetti sauce', 'pork', 'laundry detergent', 'hand soap', 'sugar', 'lunch meat', 'tortillas', 'vegetables', 'butter', 'pasta', 'shampoo', 'juice'}"
13,"{'toilet paper', 'bagels', 'ice cream', 'aluminum foil', 'all- purpose', 'pork', 'paper towels', 'fruits', 'laundry detergent', 'sugar', 'sandwich loaves', 'soap', 'individual meals', 'vegetables', 'flour', 'juice', 'shampoo'}"
14,"{'fruits', 'laundry detergent', 'ketchup', 'sandwich bags', 'sandwich loaves', 'vegetables', 'individual meals', 'cheeses', 'cereals', 'shampoo', 'dinner rolls'}"
15,"{'toilet paper', 'bagels', 'ice cream', 'aluminum foil', 'mixes', 'spaghetti sauce', 'paper towels', 'fruits', 'hand soap', 'sandwich loaves', 'lunch meat', 'tortillas', 'individual meals', 'butter', 'cheeses', 'cereals', 'juice'}"
16,"{'beef', 'ice cream', 'milk', 'paper towels', 'dishwashing liquid/detergent', 'soda', 'sandwich bags', 'sugar', 'pasta', 'soap', 'dinner rolls', 'cheeses', 'cereals', 'flour', 'juice'}"
17,"{'milk', 'spaghetti sauce', 'hand soap', 'sandwich loaves', 'cereals', 'individual meals', 'pasta'}"
18,"{'toilet paper', 'bagels', 'sandwich bags', 'coffee/tea', 'shampoo'}"
19,"{'bagels', 'waffles', 'aluminum foil', 'eggs', 'spaghetti sauce', 'laundry detergent', 'sugar', 'coffee/tea', 'vegetables', 'individual meals', 'butter', 'beef', 'flour', 'juice'}"
